AddSubtract,Epsilon 0.1,,AddSubtractSafe,Epsilon 0.1,,ArcLength,Epsilon 0.1,,DivideByTwo,Epsilon 0.1,,Exp,Epsilon 0.1,,Quadratic,Epsilon 0.1,,QuadraticSafe,Epsilon 0.1,,SampleEvens,Epsilon 0.1
Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average
4.77E-06,4.79E-06,,0,0.00E+00,,4.13E-07,4.20E-07,,0.003331406,3.34E-03,,2.36E-06,2.22E-06,,7.77E-06,7.77E-06,,6.12E-13,6.13E-13,,8.29E-06,8.26E-06
4.77E-06,StdDev,,0,StdDev,,4.17E-07,StdDev,,0.003344698,StdDev,,2.19E-06,StdDev,,7.77E-06,StdDev,,6.14E-13,StdDev,,8.32E-06,StdDev
4.77E-06,7.43922E-08,,0,0,,4.16E-07,4.49859E-09,,0.00333913,1.7437E-05,,2.28E-06,6.78959E-08,,7.77E-06,8.27037E-10,,6.15E-13,1.64175E-15,,8.29E-06,8.25451E-08
4.77E-06,Epsilon 0.3,,0,Epsilon 0.3,,4.20E-07,Epsilon 0.3,,0.003329459,Epsilon 0.3,,2.24E-06,Epsilon 0.3,,7.77E-06,Epsilon 0.3,,6.13E-13,Epsilon 0.3,,8.14E-06,Epsilon 0.3
4.77E-06,Average,,0,Average,,4.15E-07,Average,,0.00337339,Average,,2.20E-06,Average,,7.77E-06,Average,,6.11E-13,Average,,8.14E-06,Average
4.77E-06,4.86E-06,,0,0.00E+00,,4.16E-07,4.22E-07,,0.003323447,3.34E-03,,2.01E-06,2.24E-06,,7.77E-06,7.77E-06,,6.13E-13,6.13E-13,,8.29E-06,8.29E-06
4.77E-06,StdDev,,0,StdDev,,4.25E-07,StdDev,,0.003362901,StdDev,,2.26E-06,StdDev,,7.77E-06,StdDev,,6.10E-13,StdDev,,8.13E-06,StdDev
4.77E-06,2.12775E-07,,0,0,,4.24E-07,1.31581E-08,,0.003334261,5.28339E-05,,2.23E-06,2.19946E-07,,7.77E-06,2.43888E-09,,6.15E-13,5.39712E-15,,8.16E-06,2.44167E-07
4.77E-06,Epsilon 0.5,,0,Epsilon 0.5,,4.24E-07,Epsilon 0.5,,0.003361077,Epsilon 0.5,,2.32E-06,Epsilon 0.5,,7.77E-06,Epsilon 0.5,,6.13E-13,Epsilon 0.5,,8.25E-06,Epsilon 0.5
4.77E-06,Average,,0,Average,,4.19E-07,Average,,0.003335766,Average,,2.26E-06,Average,,7.77E-06,Average,,6.15E-13,Average,,8.05E-06,Average
4.77E-06,4.88E-06,,0,0.00E+00,,4.22E-07,4.26E-07,,0.003325833,3.35E-03,,2.21E-06,2.35E-06,,7.77E-06,7.77E-06,,6.11E-13,6.14E-13,,8.19E-06,8.35E-06
4.77E-06,StdDev,,0,StdDev,,4.23E-07,StdDev,,0.00333411,StdDev,,2.17E-06,StdDev,,7.77E-06,StdDev,,6.16E-13,StdDev,,8.35E-06,StdDev
